component_id,t_churn,t_devs,t_commit,developer_effort
1,431479,7959,7728,55.1836914185199146
3,7971160,305634,304776,27.0779298114738543
4,359094,4823,4391,75.3649181007671574
6,64656,1926,1922,34.5680166147455867
7,8269114,329477,328192,26.0937971391022742
17,225049,6655,6624,34.8118707738542449
37,86878,5016,4996,18.3161881977671451
42,1819521,61856,61177,30.4044555095706156
45,3058116,109744,108736,28.8567210963697332
46,66524,3133,3133,22.2333226939036068
49,3627905,173003,172791,21.9689600758368352
54,6109941,220426,219993,28.7168210646656928
56,605683,10088,9970,61.0282513877874703
58,462508,23619,23516,20.5776705194970151
59,66295,1428,1407,47.4103641456582633
61,578671,16186,16116,36.7470035833436303
71,360471,4807,4720,75.9706677761597670
73,55502,889,887,63.4296962879640045
75,177233,9795,9653,19.0797345584481879
79,73324,2042,2030,36.9020568070519099
81,358112,23230,22974,16.4049074472664658
85,12925226,212169,210588,61.9120323892745877
87,39679475,41878,40249,948.4627728162758489
91,1099997,43618,43406,26.2140171488834885
98,3998225,203744,201286,20.6117039029370190
105,3506759,97675,96535,36.8906475556693115
107,974104,29654,29461,33.8424833074795980
110,2784601,78715,78319,36.3707044400686019
113,1026457,19427,19169,53.8233386523910022
116,1404840,30271,29831,47.3942387103168049
119,2989260,17653,17635,170.3333710983968731
125,1454343,9574,9529,152.9007729266764153
130,81103,936,809,87.5128205128205128
135,316369,8857,8828,36.7163825222987468
140,67951,2849,2838,24.8469638469638470
141,4692450,157111,155494,30.8568082438530720
142,1046133,39208,38990,27.6760610079575597
143,7016254,228715,227506,31.6715563036967405
147,17957973,328868,328109,55.6031051972219857
150,176668,10875,10823,17.2405517241379310
155,245192,9480,9408,26.8565400843881857
158,148809,5556,5515,27.7760979121670266
159,3701856,96210,94318,39.4571666146970169
164,17158,312,296,55.9423076923076923
165,775400,14011,13886,56.3333095425023196
171,7242432,142682,140377,51.7431000406498367
172,58163,2322,2302,26.0400516795865633
178,1673235,36885,36540,46.3542090280601871
188,91735,4163,4148,23.0321883257266394
189,39109,917,903,43.6335877862595420
191,3008469,99135,98960,31.3454279517829223
193,2226488,52748,52103,43.1976757412603321
195,11718356,234213,232605,51.0260361295060479
199,3670280,37231,36982,99.5746018103193575
200,6733,454,434,15.7863436123348018
201,561725,20295,19803,28.6537570830253757
203,3347,295,295,12.3457627118644068
204,485022,18931,18744,26.6106386350430511
205,240463,1724,706,139.8892111368909513
206,7892,524,516,16.0458015267175573
207,40778,1020,1014,40.9725490196078431
208,69737,2600,2597,27.8207692307692308
210,9807034,330281,326892,30.6827398487954197
212,8241,135,135,62.0444444444444444
213,59211,1621,1602,37.5157310302282542
214,404353,11598,11232,35.8324711157096051
215,43283240,1419923,1411242,31.4766941587677642
216,240122,12707,11463,19.7989297237742976
217,2850951,100341,99147,29.4007235327533112
