Component,Firefox Bugs,Chromium Bugs
android,176833,449607
api,10670,462
application,4298,91529
autocomplete,990,1805
autofill,5150,21000
bookmarks,4147,2021
cache,49646,155
content,672817,60389
cookies,1740,554
css,69531,1527
desktop,3194,593
dns,5207,1309
dom,303051,1632
download,64,4919
enterprise,3353,778
extensions,132493,60978
gfx,186179,4855
gpu,80,13154
infrastructure,917,7445
ipc,76854,1421
keyboard,688,2578
layout,202744,7651
media,180645,22821
mobile,17425,3
net,4719,26128
notification,667,3390
os,29960,497
parser,34762,5
password,4375,9177
performance,13106,1222
permission,1665,782
plugin,18010,605
preferences,17628,1131
printing,1452,2264
profile,60411,2423
reporting,1455,281
search,65806,2888
security,79484,210
services,7583,8581
shell,21928,2506
storage,5454,715
sync,15780,11110
themes,28207,275
toolbar,4689,2306
tools,45909,24137
ui,5604,47629
url,3615,883
views,1257,18323
webapps,1487,497
webstore (web-platform),332683,22
widget,34763,1414
